date,ticker,open,high,low,close,volume,sector,analyst_rating
2023-04-15,BRTV,$74.74,$76.30,$74.20,$75.64,1583940,Finance,Strong Buy
2023-03-07,BRTV,$75.68,$76.30,$74.85,$76.30,4907400,Finance,Hold
2023-02-23,ALNX,$153.52,$156.20,$150.24,$155.07,3348757,Technology,Buy
2023-08-22,ALNX,$250.41,$253.50,$246.30,$250.50,2752550,Technology,Hold
2023-04-29,BRTV,$74.04,$75.18,$73.65,$74.48,3494516,Finance,Buy
2023-05-10,CMPX,$201.20,N/A,$199.09,$203.97,1145562,Healthcare,Buy
2023-05-04,BRTV,$74.53,$75.99,$73.93,$74.37,3195592,Finance,Strong Buy
05-12-2023,CMPX,$205.39,$208.13,$200.78,$202.56,1827788,Healthcare,Sell
2023-09-01,BRTV,$109.79,$110.03,$108.55,$109.79,2088405,Finance,Buy
2023-06-17,BRTV,$101.41,$102.70,$100.64,$102.16,4665713,Finance,Hold
2023-01-07,CMPX,$206.70,$211.86,$204.06,$204.77,1195240,Healthcare,Buy
2023-03-31,ALNX,$185.09,$188.23,$183.80,$187.65,1231560,Technology,Sell
2023-03-15,CMPX,$217.17,$221.90,$215.80,$221.74,4966850,Healthcare,Sell
2023-07-05,ALNX,$207.41,$208.31,$203.73,$204.89,,Technology,Strong Buy
2023-03-25,ALNX,$191.35,$191.66,$186.63,$190.60,2795914,Technology,
2023-02-09,CMPX,$219.29,$224.35,$218.97,$221.84,4105281,Healthcare,
2023-08-02,BRTV,$111.01,$113.72,$108.65,$110.31,1354613,Finance,Sell
2023-06-15,ALNX,$145.00
2023-09-05,CMPX,$261.14,$263.83,$257.89,$263.63,4783115,Healthcare,
2023-03-16,BRTV,$75.63,$77.08,$75.13,$76.46,1947387,Finance,Buy
2023-05-18,BRTV,$82.36,$83.47,$80.60,$83.16,1972567,Finance,Sell
2023-09-16,ALNX,$242.31,$247.50,$238.92,$240.79,3334576,Technology,
2023-04-14,CMPX,$219.47,$223.18,$218.81,$220.17,4087981,Healthcare,Hold
2023-06-27,CMPX,$224.05,$226.60,$222.10,$225.07,1518854,Healthcare,
2023-05-03,CMPX,$206.11,$206.70,$201.64,$203.50,3437256,Healthcare,Sell
2023-04-22,CMPX,$213.52,$216.85,$210.35,$215.40,2793470,Healthcare,Sell
2023-09-14,CMPX,$267.97,$268.56,$266.76,$268.16,2597834,Healthcare,Hold
2023-08-26,BRTV,$108.72,$108.83,$107.83,$108.40,1071646,Finance,Hold
2023-04-22,BRTV,$71.89,$73.52,$70.13,$70.86,2054261,Finance,
2023-01-31,CMPX,$217.45,$218.66,$212.25,$215.05,2452850,Healthcare,Sell
2023-03-11,CMPX,$226.16,$229.69,$222.58,$227.44,4974735,Healthcare,
2023-02-28,CMPX,$228.38,$229.11,$227.94,$228.92,974025,Healthcare,Sell
2023-06-13,ALNX,$200.49,$202.69,$196.20,$198.64,4772163,Technology,Hold
2023-09-13,BRTV,$106.76,$109.00,$106.24,$106.93,4628968,Finance,Buy
2023-06-07,CMPX,$222.88,$225.98,$220.14,$224.39,2668060,Healthcare,Buy
2023-08-24,CMPX,$271.04,$277.28,$269.30,$276.05,3860917,Healthcare,Buy
2023-04-19,BRTV,$75.12,$75.63,$74.98,$75.49,2427525,Finance,Sell
2023-01-18,BRTV,$86.63,$88.48,$84.81,$86.59,2593042,Finance,Strong Buy
2023-06-02,CMPX,$233.71,$237.89,$228.31,$233.71,1318064,Healthcare,
2023-04-18,BRTV,$76.25,$77.85,$75.96,$76.03,3624984,Finance,
2023-05-13,ALNX,$186.66,$187.48,$182.22,$187.19,4307568,Technology,Hold
2023-05-16,ALNX,"1,200.50",$185.65,$179.02,$185.43,2604762,Technology,
2023-01-11,ALNX,$151.24,$153.04,$150.92,$152.78,3009467,Technology,
2023-01-20,ALNX,$154.12,$154.57,$150.95,$153.10,2773033,Technology,Strong Buy
2023-02-03,ALNX,$158.64,$159.56,$154.77,$155.94,4785732,Technology,
2023/04/08,ALNX,$196.00,$199.70,$192.14,$198.03,1440716,Technology,
2023-08-10,ALNX,$230.15,$235.02,$229.24,$234.74,812264,Technology,Strong Buy
2023-06-24,BRTV,$107.75,$109.32,$106.52,$108.90,3582751,Finance,Strong Buy
2023-02-08,BRTV,$80.62,$81.51,$80.36,$81.03,963845,Finance,
2023-08-19,ALNX,$244.88,$248.90,$243.44,$244.80,,Technology,Strong Buy
2023-08-08,BRTV,$108.04,$108.28,$105.92,$107.14,1185276,Finance,Strong Buy
2023-05-11,ALNX,$190.57,$195.10,$189.33,$190.86,2568388,Technology,
2023-05-10,BRTV,$77.19,$78.20,$75.57,$78.05,2093475,Finance,Hold
2023-08-22,BRTV,$107.89,"1,200.50",$105.88,$109.00,1268995,Finance,Hold
2023-03-28,CMPX,$230.30,$230.98,$227.90,$228.10,3107001,Healthcare,
2023-03-21,BRTV,$75.98,$76.17,$75.58,$76.12,3334954,Finance,Strong Buy
2023-05-09,CMPX,$198.65,$200.39,$197.07,,3182769,Healthcare,Buy
2023-01-21,CMPX,$217.06,$222.14,$216.22,$221.43,3899817,Healthcare,Sell
2023-04-01,BRTV,$74.47,$76.03,$73.09,$73.62,3391951,Finance,Sell
2023-09-09,ALNX,$236.88,$240.63,$234.83,$237.16,4120150,Technology,Sell
2023-05-04,CMPX,$202.61,$203.47,$197.90,$198.86,4533863,Healthcare,Buy
2023-01-05,CMPX,$210.84,$212.85,$208.96,$211.69,1398967,Healthcare,
2023-05-17,BRTV,$80.57,$81.52,$79.62,$81.19,1796659,Finance,Hold
2023-04-19,CMPX,$218.44,$221.65,$215.29,$220.18,4003378,Healthcare,
2023-01-19,BRTV,$85.10,$85.63,$83.09,$84.96,1311349,Finance,Sell
2023-07-26,BRTV,$117.28,$118.36,$114.69,$117.85,1908765,Finance,Strong Buy
2023-06-28,CMPX,$222.57,$224.23,$217.71,$218.93,4565173,Healthcare,
2023-01-18,CMPX,$222.96,$224.06,$217.40,$220.00,4616886,Healthcare,Sell
17/01/2023,BRTV,$84.09,$84.86,$83.73,$84.01,2395587,Finance,
2023-06-15,BRTV,$96.62,$98.33,$95.84,$96.83,2807653,Finance,
2023-02-04,ALNX,$156.13,$159.30,$154.83,$156.91,2890426,Technology,Buy
2023-04-05,ALNX,$185.86,$188.02,$182.43,$186.65,1754770,Technology,Sell
2023-08-08,ALNX,$230.52,$232.52,$229.33,$231.15,1801607,Technology,
2023-01-25,BRTV,$83.24,$84.98,$81.25,$82.49,1897394,Finance,Sell
2023-02-18,CMPX,$245.80,$247.64,$241.14,$241.92,2415514,Healthcare,Sell
2023-08-11,BRTV,$112.82,$113.16,"1,200.50",$110.65,4108058,Finance,Buy
2023-05-16,BRTV,$80.97,$81.15,$79.91,$81.00,4747568,Finance,Sell
2023-05-13,CMPX,$209.42,$212.13,$206.77,$209.44,3388225,Healthcare,Strong Buy
2023-03-18,BRTV,$77.18,$78.72,$75.28,$77.13,4615021,Finance,Sell
2023-02-01,CMPX,$216.87,$221.98,$214.97,$221.30,3324550,Healthcare,Strong Buy
2023-06-30,CMPX,$228.33,$229.63,$223.21,$225.17,4119304,Healthcare,Sell
2023-03-02,CMPX,$226.70,$227.22,$223.85,$225.95,4981663,Healthcare,Strong Buy
2023-06-20,ALNX,$207.19,$212.16,$204.62,$210.95,1423528,Technology,Buy
2023-05-11,CMPX,$201.47,$205.56,$199.75,$201.48,1412142,Healthcare,Buy
2023-05-25,ALNX,$182.15,$184.27,$178.72,$181.38,2495069,Technology,
2023/06/27,BRTV,$104.72,$105.51,$104.60,$105.05,3784760,Finance,
